Location,State,Population (US Census, 2011),Ownership?,Type ,Open Data Policy?,Data Source Description,Link,Building permits
Nebraska,NB,1842641,Government,US State,No,generic opendata portal,http://www.nebraska.gov/data/,
Nebraska,NE,1842641,Government,US State,No,generic opendata portal,http://nebraskaspending.gov,
Idaho,ID,1584985,Government,US State,No,generic opendata portal,http://transparent.idaho.gov,
Idaho,ID,1584985,Government,US Stste GIS,No,generic opendata portal,http://www.insideidaho.org/,
Philadelphia,PA,1514456,Community,US City,Yes,generic opendata portal,http://www.opendataphilly.org/,
Hawaii,HI,1374810,Government,US State,Yes,generic opendata portal,http://hawaii.gov/spo2,
Hawaii,HI,1374810,Government,US State,Yes,generic opendata portal,https://data.hawaii.gov,
Hawaii,HI,1374810,Government,US State GIS,Yes,generic opendata portal,http://planning.hawaii.gov/gis/download-gis-data-expanded/,
Hawaii GIS,HI,1374810,Government,Other State Related,Yes,generic opendata portal,http://gis.hicentral.com/,
New Hampshire,NH,1318194,Community,US State,Yes,generic opendata portal,http://nhopengovt.org/,
New Hampshire,NH,1318194,Government,US State,Yes,generic opendata portal,http://www.nh.gov/transparentnh,
San Diego,CA,1307402,Community,US City,No,generic opendata portal,http://catalog.opensandiego.org/,
Rhode Island,RI,1051302,Government,US State,No,generic opendata portal,http://www.ri.gov/data/,
Rhode Island,RI,1051302,Government,US State,No,generic opendata portal,http://www.transparency.ri.gov,
Montana,MT,998199,Government,US State,No,generic opendata portal,http://transparency.mt.gov,
Honolulu,HI,944287,Government,US City,Yes,generic opendata portal,https://data.honolulu.gov/,
Wake County,NC,929780,Government,US County,No,generic opendata portal,http://www.wakegov.com/data/Pages/default.aspx,
Delaware,DE,907135,Government,US State,No,generic opendata portal,http://www.delaware.gov/data/,
Delaware,DE,907135,Government,US State,No,generic opendata portal,http://transparency.delaware.gov,
Delaware,DE,907135,Government,US State GIS,Yes,generic opendata portal,https://dataexchange.gis.delaware.gov/,
South Dakota,SD,824082,Government,US State,No,generic opendata portal,http://open.sd.gov/,
Austin,TX,820611,Government,US City,Yes,generic opendata portal,https://data.austintexas.gov,
San Francisco,CA,797983,Government,US City,Yes,generic opendata portal,http://data.sfgov.org,
Washington D.C.,DC,797983,Government,US City,Yes,generic opendata portal,http://data.dc.gov/,
Washington D.C.,DC,797983,Community,US City,Yes,generic opendata portal,http://www.opendatadc.org/,
Washington D.C.[GIS],DC,797983,Government,US City,Yes,generic opendata portal,http://opendata.dc.gov/,
San Mateo County Open Checkbook,WA,727209,Government,US County,Yes,generic opendata portal,https://data.smcgov.org/,
Alaska,AK,722718,Government,US State,No,generic opendata portal,https://dof.doa.alaska.gov/,
Snohomish County,WA,722400,Government,US County,No,generic opendata portal,https://data.snostat.org,
North Dakota,ND,683932,Government,US State,No,generic opendata portal,http://data.share.nd.gov/pr,
North Dakota GIS Hub,ND,683932,Government,Other State Related,No,generic opendata portal,http://www.nd.gov/gis/,
Vermont,VT,626431,Government,US State,No,generic opendata portal,http://spotlight.vermont.gov,
Seattle,WA,620778,Government,US City,No,generic opendata portal,http://data.seattle.gov,
Baltimore,MD,620210,Government,US City,No,generic opendata portal,https://data.baltimorecity.gov,
Boston,MA,609942,Government,US City,No,generic opendata portal,http://www.cityofboston.gov/doit/databoston/app/data_disclaimer.asp,
